price,title,location
"₦ 40,000,000","Furnished 9bdrm Duplex in Private, Jahi for rent","Abuja, Jahi"
"₦ 170,000,000",9bdrm Mansion in Maitama for rent,"Abuja, Maitama"
"₦ 50,000,000",9bdrm House in Asokoro for rent,"Abuja, Asokoro"
"₦ 35,000,000",Furnished 9bdrm Duplex in Jahi Gilmore for rent,"Abuja, Jahi"
"₦ 25,000,000",6bdrm Duplex in Guzape District for rent,"Abuja, Guzape District"
"₦ 40,000,000",8bdrm Duplex in Wuse 2 for rent,"Abuja, Wuse 2"
"₦ 15,000,000",6bdrm Duplex in Ikeja GRA for rent,"Lagos, Ikeja"
"₦ 187,000,000",6bdrm Duplex in Banana Island for rent,"Lagos, Ikoyi"
"₦ 16,000,000","6bdrm Duplex in Naf Valley Estate, Asokoro for rent","Abuja, Asokoro"
"₦ 15,000,000",6bdrm Duplex in Katampe Extension for rent,"Abuja, Katampe"
"₦ 6,000,000","6bdrm Penthouse in Lbs, Sangotedo for rent","Lagos, Ajah"
"₦ 100,000,000",6bdrm Duplex in Asokoro Property for rent,"Abuja, Asokoro"
"₦ 600,000,000",6bdrm Duplex in Ikota for rent,"Lagos, Lekki"
"₦ 25,000,000",6bdrm Duplex in Asokoro for rent,"Abuja, Asokoro"
"₦ 15,000,000",6bdrm Duplex in Guzape District for rent,"Abuja, Guzape District"
"₦ 35,000,000",6bdrm Apartment in Lekki for rent,"Lagos, Lekki"
"₦ 25,000,000",11bdrm Mansion in Naf Valley Estate for rent,"Abuja, Asokoro"
"₦ 15,000,000",6bdrm Duplex in Ologolo for rent,"Lagos, Lekki"
"₦ 60,000,000",6bdrm Duplex in Maitama for rent,"Abuja, Maitama"
"₦ 32,000,000",Furnished 6bdrm Mansion in Naf Valley Estate for rent,"Abuja, Asokoro"
"₦ 8,000,000",6bdrm Bungalow in Iyanganku for rent,"Oyo, Ibadan"
"₦ 13,000,000","6bdrm Duplex in Ceitec, Dutse-Alhaji for rent","Abuja, Dutse-Alhaji"
"₦ 350,000,000",6bdrm Duplex in Jabi By Airport Road for rent,"Abuja, Jabi"
"₦ 165,000,000","6bdrm Duplex in Banana Island, Ikoyi for rent","Lagos, Ikoyi"
"₦ 80,000,000",6bdrm Duplex in Maitama Close To for rent,"Abuja, Maitama"
"₦ 120,000,000",6bdrm Duplex in 5Th Avenue Banana for rent,"Lagos, Ikoyi"
"₦ 15,000,000",6bdrm Duplex in An Estate In Ologolo for rent,"Lagos, Lekki"
"₦ 6,000,000","8bdrm Duplex in Gra Okefia Ososgbo, Osogbo for rent","Osun, Osogbo"
"₦ 5,500,000","8bdrm Duplex in Ire Akari, Ibadan for Rent","Oyo, Ibadan"
"₦ 110,000,000",Furnished 8bdrm Duplex in Bananas Lsland for rent,"Lagos, Ikoyi"
"₦ 55,000,000","Furnished 8bdrm House in Cole Street, Victoria Island for rent","Lagos, Victoria Island"
"₦ 5,000,000","8bdrm Duplex in Estate In, Enugu for rent","Enugu, Enugu / Enugu State"
"₦ 75,000,000",Furnished 8bdrm House in Banana Island for rent,"Lagos, Ikoyi"
"₦ 35,000,000","8bdrm Duplex in Fola Osinbo, Lekki Phase 1 for rent","Lagos, Lekki"
